city,description,location_type,activities,travel_style,season_preference,attractions,nearby_attractions_type,cuisine,language,famous_for,nearby_places
Delhi,The capital city of India rich in history and culture,City,Sightseeing|Shopping|Cultural Tours|Street Food Tours|Heritage Walks,Luxury|Budget|Family,Summer|Winter|Monsoon|All-Year,Red Fort|Qutub Minar|India Gate|Lotus Temple|Humayun's Tomb|Akshardham Temple|Chandni Chowk,Historical Sites|Museums|Parks|Nightlife|Shopping Districts,Mughlai|Street Food|Parathas|Chaat,Hindi|English|Punjabi,Historical monuments and street food,Agra|Jaipur|Haridwar|Rishikesh
Mumbai,The financial capital and entertainment hub of India,City|Beach,Sightseeing|Shopping|Cultural Tours|Beach Activities|Nightlife|Bollywood Tours,Luxury|Budget|Romantic|Family,Summer|Winter|Monsoon|All-Year,Gateway of India|Marine Drive|Elephanta Caves|Chhatrapati Shivaji Terminus|Siddhivinayak Temple|Juhu Beach|Film City,Historical Sites|Museums|Beach|Nightlife|Shopping Districts,Vada Pav|Pav Bhaji|Street Food|Seafood,Marathi|Hindi|English,Bollywood and financial hub,Pune|Lonavala|Alibaug|Nashik
Goa,Famous for beaches nightlife and Portuguese heritage,Beach|Countryside,Beach Activities|Adventure Sports|Water Sports|Nightlife|Cultural Tours|Shopping|Partying,Luxury|Budget|Romantic|Backpacking,Winter|Summer|All-Year,Beaches (Baga Calangute Anjuna)|Fort Aguada|Basilica of Bom Jesus|Dudhsagar Falls|Old Goa Churches|Chapora Fort,Beach|Historical Sites|Nightlife|Churches|Nature Spots,Seafood|Goan Fish Curry|Vindaloo|Bebinca,Konkani|Marathi|Hindi|English,Beaches and nightlife,Hampi|Gokarna|Karwar
Jaipur,The Pink City known for royal palaces and forts,City|Desert,Sightseeing|Shopping|Cultural Tours|Heritage Walks|Camel Safari|Adventure Sports,Luxury|Budget|Romantic|Family,Winter|Summer|All-Year,Amber Fort|City Palace|Hawa Mahal|Jantar Mantar|Nahargarh Fort|Jaigarh Fort|Albert Hall Museum,Historical Sites|Museums|Shopping Districts|Desert Safari|Cultural Shows,Dal Baati Churma|Laal Maas|Ghewar|Kachori,Hindi|Rajasthani|English,Royal palaces and pink architecture,Pushkar|Ajmer|Ranthambore|Udaipur
Bangalore,The Silicon Valley of India with pleasant weather year-round,City,Sightseeing|Shopping|Cultural Tours|Nightlife|Food Tours|Adventure Sports,Luxury|Budget|Family|Backpacking,Winter|Summer|All-Year,Lalbagh Botanical Garden|Bangalore Palace|Cubbon Park|ISKCON Temple|Vidhana Soudha|Tipu Sultan's Palace,Parks|Museums|Nightlife|Shopping Districts|Gardens,Dosa|Idli|Bisi Bele Bath|Filter Coffee,Kannada|Tamil|Telugu|Hindi|English,IT industry and pleasant weather,Mysore|Coorg|Ooty|Chikmagalur
Agra,Home to the iconic Taj Mahal one of the Seven Wonders,City,Sightseeing|Cultural Tours|Photography|Shopping|Heritage Walks,Luxury|Budget|Romantic|Family,Winter|Summer|All-Year,Taj Mahal|Agra Fort|Fatehpur Sikri|Mehtab Bagh|Itmad-ud-Daulah|Akbar's Tomb,Historical Sites|Museums|Parks|Shopping Districts,Petha|Mughlai|Kebabs|Chaat,Hindi|Urdu|English,Taj Mahal,Delhi|Mathura|Vrindavan|Bharatpur
Kerala,God's Own Country known for backwaters and natural beauty,Beach|Countryside|Hill Station,Sightseeing|Adventure Sports|Trekking|Beach Activities|Cultural Tours|Ayurveda|Wildlife Safari|Houseboat Cruise,Luxury|Budget|Romantic|Family,Winter|Monsoon|All-Year,Backwaters|Munnar Tea Gardens|Alleppey Houseboats|Periyar Wildlife Sanctuary|Kovalam Beach|Fort Kochi|Wayanad,Beach|Nature Spots|Wildlife|Historical Sites|Hill Stations,Appam|Fish Curry|Sadhya|Puttu|Payasam,Malayalam|Tamil|English,Backwaters and Ayurveda,Tamil Nadu|Karnataka|Lakshadweep
Udaipur,The City of Lakes known for romantic palaces and lakes,City|Countryside,Sightseeing|Shopping|Cultural Tours|Boat Rides|Heritage Walks|Photography,Luxury|Romantic|Budget|Family,Winter|Summer|All-Year,City Palace|Lake Pichola|Jag Mandir|Saheliyon Ki Bari|Fateh Sagar Lake|Monsoon Palace|Jagdish Temple,Historical Sites|Lakes|Shopping Districts|Cultural Shows,Dal Baati Churma|Laal Maas|Gatte ki Sabzi|Mawa Kachori,Hindi|Rajasthani|English,Lakes and romantic palaces,Jaipur|Mount Abu|Chittorgarh|Kumbhalgarh
Varanasi,One of the oldest living cities spiritual capital of India,City,Sightseeing|Cultural Tours|Spiritual Tours|Photography|Shopping|Boat Rides,Budget|Backpacking|Family,Winter|Summer|All-Year,Ganges River Ghats|Kashi Vishwanath Temple|Sarnath|Assi Ghat|Dashashwamedh Ghat|Manikarnika Ghat,Historical Sites|Spiritual Sites|Museums|Cultural Shows,Banarasi Paan|Chaat|Kachori Sabzi|Lassi|Thandai,Hindi|Bhojpuri|English,Spiritual capital and Ganga Aarti,Allahabad|Ayodhya|Bodh Gaya|Lucknow
Hyderabad,The City of Pearls known for Biryani and IT industry,City,Sightseeing|Shopping|Cultural Tours|Food Tours|Nightlife,Luxury|Budget|Family,Winter|Summer|All-Year,Charminar|Golconda Fort|Hussain Sagar Lake|Ramoji Film City|Birla Mandir|Salar Jung Museum|Chowmahalla Palace,Historical Sites|Museums|Parks|Nightlife|Shopping Districts,Hyderabadi Biryani|Haleem|Irani Chai|Qubani ka Meetha,Telugu|Urdu|Hindi|English,Biryani and pearls,Warangal|Nagarjuna Sagar|Tirupati
Pune,The Cultural Capital of Maharashtra educational hub,City|Hill Station,Sightseeing|Shopping|Cultural Tours|Trekking|Adventure Sports|Nightlife,Luxury|Budget|Backpacking|Family,Winter|Monsoon|All-Year,Shaniwar Wada|Aga Khan Palace|Sinhagad Fort|Osho Ashram|Raja Dinkar Kelkar Museum|Parvati Hill,Historical Sites|Museums|Parks|Nightlife|Shopping Districts|Forts,Misal Pav|Vada Pav|Mastani|Bhakarwadi,Marathi|Hindi|English,Educational institutions and Maratha history,Mumbai|Lonavala|Mahabaleshwar|Kolhapur
Chennai,Gateway to South India known for culture and beaches,City|Beach,Sightseeing|Shopping|Cultural Tours|Beach Activities|Temple Tours,Luxury|Budget|Family,Winter|Summer|All-Year,Marina Beach|Kapaleeshwarar Temple|Fort St. George|Government Museum|San Thome Cathedral|Mahabalipuram,Beach|Historical Sites|Museums|Temples|Shopping Districts,Dosa|Idli|Filter Coffee|Chettinad Cuisine|Biryani,Tamil|Telugu|Hindi|English,Culture and temples,Pondicherry|Mahabalipuram|Kanchipuram|Tirupati
Kolkata,The City of Joy cultural and intellectual capital,City,Sightseeing|Shopping|Cultural Tours|Heritage Walks|Food Tours|Art Galleries,Luxury|Budget|Family|Backpacking,Winter|Monsoon|All-Year,Victoria Memorial|Howrah Bridge|Dakshineswar Temple|Indian Museum|Belur Math|Park Street|Science City,Historical Sites|Museums|Parks|Cultural Shows|Shopping Districts,Rosogulla|Mishti Doi|Fish Curry|Luchi|Sandesh,Bengali|Hindi|English,Culture and sweets,Darjeeling|Sundarbans|Digha|Shantiniketan
Shimla,The Queen of Hills popular hill station in Himalayas,Hill Station|Countryside,Sightseeing|Shopping|Trekking|Adventure Sports|Nature Walks|Photography|Toy Train Ride,Luxury|Budget|Romantic|Family,Summer|Winter|All-Year,Mall Road|Jakhu Temple|Christ Church|Kufri|Scandal Point|Summer Hill|Annandale,Nature Spots|Historical Sites|Adventure Parks|Shopping Districts,Chana Madra|Sidu|Babru|Apple products,Hindi|Pahari|English,Hill station and colonial architecture,Manali|Dharamshala|Kasauli|Kullu
Manali,Adventure capital of India beautiful Himalayan valley,Hill Station|Countryside,Adventure Sports|Trekking|Skiing|Paragliding|River Rafting|Sightseeing|Shopping|Photography,Luxury|Budget|Romantic|Backpacking,Winter|Summer|All-Year,Solang Valley|Rohtang Pass|Hadimba Temple|Old Manali|Vashisht Hot Springs|Jogini Falls|Manu Temple,Nature Spots|Adventure Parks|Temples|Shopping Districts|Hot Springs,Siddu|Thukpa|Momos|Trout Fish|Madra,Hindi|Pahari|English,Adventure sports and snow,Shimla|Kullu|Dharamshala|Leh-Ladakh
